account_id,creative_id,ad_id,creative_name,url_link
486847852051737,23843623752920257,23843637190620257,VMware 2019-07-05-e8a0a85d96b5fa21131afe54dbad0f45,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623745310257,23843637190600257,VMware 2019-07-05-a6ec6eaa661023c6fdf69bea5748ffa8,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623736520257,23843637190590257,VMware 2019-07-05-9c577e611c44435f8aca9889ec5ed125,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623729910257,23843637190630257,VMware 2019-07-05-ff080b41c42bdfc7876c53c803a9a7de,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623752920257,23843623740980257,VMware 2019-07-05-e8a0a85d96b5fa21131afe54dbad0f45,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623745310257,23843623741000257,VMware 2019-07-05-a6ec6eaa661023c6fdf69bea5748ffa8,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623736520257,23843623731830257,VMware 2019-07-05-9c577e611c44435f8aca9889ec5ed125,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623729910257,23843623723360257,VMware 2019-07-05-ff080b41c42bdfc7876c53c803a9a7de,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
371547850208036,23843709679390776,23843800338950776,{{product.name}} 2019-09-12-d0b9fb7665ee406aeb4ac38b723a658e,
371547850208036,23843675059480776,23843800321080776,{{product.name}} 2019-08-29-3edf967ca7d8746a317eebfa88377f5a,
371547850208036,23843800149340776,23843800321070776,{{product.name}} 2019-10-14-012e81ba4a5cee56c0ad0279f490c023,
371547850208036,23843800149340776,23843800141580776,{{product.name}} 2019-10-14-012e81ba4a5cee56c0ad0279f490c023,
371547850208036,23843675059480776,23843675027360776,{{product.name}} 2019-08-29-3edf967ca7d8746a317eebfa88377f5a,
371547850208036,23843709679390776,23843679229570776,{{product.name}} 2019-09-12-d0b9fb7665ee406aeb4ac38b723a658e,
371547850208036,23843677379200776,23843677361640776,Try vSphere Platinum 2019-08-30-08f69281c576dd2a4fc9083b669e3f85,https://www.vmware.com/try-vmware/vsphere-platinum-hol-labs.html?src=sp_5d64a4f9590a1&cid=7012H0000021OLC
394751067864384,23844152720950738,23844152369350738,VMware 2020-01-17-b577ca229a2261057052cf293236724b,https://fb.me/
394751067864384,23844122947650738,23844148213230738,VMware 2020-01-09-c63ae0ad5fdcc774ccdd8b38f49378b7,https://fb.me/
394751067864384,23844152723070738,23844152369340738,{{product.name}} 2020-01-17-d2834b1fc37498fdd7fd9dbc66e3d1a3,
394751067864384,23844152603040738,23844152327090738,{{product.name}} 2020-01-17-de91e62cac8e50fd0f4b4986e7748ad9,
394751067864384,23844122947650738,23844122945580738,VMware 2020-01-09-c63ae0ad5fdcc774ccdd8b38f49378b7,https://fb.me/
394751067864384,23844122947470738,23844122945590738,VMware 2020-01-09-99ab857418d04e56c623f153710d5010,https://fb.me/
